fid,Locale,SA1 Main Code,SA1 7 Digit Code,SA2 Main Code,SA2 5 Digit Code,SA2 Name
99,albury_wodonga,10901117235,1117235,109011172,11172,Albury - East
100,albury_wodonga,10901117636,1117636,109011176,11176,Lavington
101,albury_wodonga,10901117403,1117403,109011174,11174,Albury - South
102,albury_wodonga,10901117209,1117209,109011172,11172,Albury - East
103,albury_wodonga,10901117306,1117306,109011173,11173,Albury - North
104,albury_wodonga,10901117609,1117609,109011176,11176,Lavington
105,albury_wodonga,10901117311,1117311,109011173,11173,Albury - North
106,albury_wodonga,10901117229,1117229,109011172,11172,Albury - East
107,albury_wodonga,10901117234,1117234,109011172,11172,Albury - East
108,albury_wodonga,10901117406,1117406,109011174,11174,Albury - South
109,albury_wodonga,10901117308,1117308,109011173,11173,Albury - North
110,albury_wodonga,10901117613,1117613,109011176,11176,Lavington
111,albury_wodonga,10901117412,1117412,109011174,11174,Albury - South
112,albury_wodonga,10901117428,1117428,109011174,11174,Albury - South
113,albury_wodonga,10901117604,1117604,109011176,11176,Lavington
114,albury_wodonga,10901117222,1117222,109011172,11172,Albury - East
115,albury_wodonga,10901117316,1117316,109011173,11173,Albury - North
116,albury_wodonga,10901117310,1117310,109011173,11173,Albury - North
117,albury_wodonga,10901117408,1117408,109011174,11174,Albury - South
118,goldcoast_tweedheads,11203125024,1125024,112031250,11250,Kingscliff - Fingal Head
119,goldcoast_tweedheads,11203125416,1125416,112031254,11254,Tweed Heads
120,goldcoast_tweedheads,11203125425,1125425,112031254,11254,Tweed Heads
121,goldcoast_tweedheads,11203155004,1155004,112031550,11550,Banora Point
122,goldcoast_tweedheads,11203155034,1155034,112031550,11550,Banora Point
123,goldcoast_tweedheads,11203155106,1155106,112031551,11551,Terranora - North Tumblegum
124,goldcoast_tweedheads,11203155213,1155213,112031552,11552,Tweed Heads South
125,goldcoast_tweedheads,11203155214,1155214,112031552,11552,Tweed Heads South
126,goldcoast_tweedheads,11203125449,1125449,112031254,11254,Tweed Heads
127,goldcoast_tweedheads,11203155220,1155220,112031552,11552,Tweed Heads South
128,goldcoast_tweedheads,11203155028,1155028,112031550,11550,Banora Point
129,goldcoast_tweedheads,11203125031,1125031,112031250,11250,Kingscliff - Fingal Head
130,goldcoast_tweedheads,11203155026,1155026,112031550,11550,Banora Point
131,goldcoast_tweedheads,11203155210,1155210,112031552,11552,Tweed Heads South
132,goldcoast_tweedheads,11203125441,1125441,112031254,11254,Tweed Heads
133,goldcoast_tweedheads,11203125035,1125035,112031250,11250,Kingscliff - Fingal Head
134,goldcoast_tweedheads,11203125421,1125421,112031254,11254,Tweed Heads
135,goldcoast_tweedheads,11203125303,1125303,112031253,11253,Pottsville
136,goldcoast_tweedheads,11203155009,1155009,112031550,11550,Banora Point
137,goldcoast_tweedheads,11203155029,1155029,112031550,11550,Banora Point
138,goldcoast_tweedheads,11203125420,1125420,112031254,11254,Tweed Heads
139,goldcoast_tweedheads,11203125017,1125017,112031250,11250,Kingscliff - Fingal Head
140,goldcoast_tweedheads,11203125429,1125429,112031254,11254,Tweed Heads
141,goldcoast_tweedheads,11203125452,1125452,112031254,11254,Tweed Heads
142,goldcoast_tweedheads,11203125314,1125314,112031253,11253,Pottsville
143,goldcoast_tweedheads,11203155021,1155021,112031550,11550,Banora Point
144,goldcoast_tweedheads,11203125451,1125451,112031254,11254,Tweed Heads
145,goldcoast_tweedheads,11203125012,1125012,112031250,11250,Kingscliff - Fingal Head
146,goldcoast_tweedheads,11203155027,1155027,112031550,11550,Banora Point
147,goldcoast_tweedheads,11203125023,1125023,112031250,11250,Kingscliff - Fingal Head
148,goldcoast_tweedheads,11203125334,1125334,112031253,11253,Pottsville
149,goldcoast_tweedheads,11203155217,1155217,112031552,11552,Tweed Heads South
150,goldcoast_tweedheads,11203155014,1155014,112031550,11550,Banora Point
151,goldcoast_tweedheads,11203125008,1125008,112031250,11250,Kingscliff - Fingal Head
152,goldcoast_tweedheads,11203155001,1155001,112031550,11550,Banora Point
153,goldcoast_tweedheads,11203125317,1125317,112031253,11253,Pottsville
154,goldcoast_tweedheads,11203125415,1125415,112031254,11254,Tweed Heads
155,goldcoast_tweedheads,11203125320,1125320,112031253,11253,Pottsville
156,goldcoast_tweedheads,11203155013,1155013,112031550,11550,Banora Point
157,goldcoast_tweedheads,11203125402,1125402,112031254,11254,Tweed Heads
158,goldcoast_tweedheads,11203125407,1125407,112031254,11254,Tweed Heads
159,goldcoast_tweedheads,11203125029,1125029,112031250,11250,Kingscliff - Fingal Head
160,goldcoast_tweedheads,11203155101,1155101,112031551,11551,Terranora - North Tumblegum
161,goldcoast_tweedheads,11203125439,1125439,112031254,11254,Tweed Heads
162,goldcoast_tweedheads,11203125015,1125015,112031250,11250,Kingscliff - Fingal Head
163,goldcoast_tweedheads,11203125326,1125326,112031253,11253,Pottsville
164,goldcoast_tweedheads,11203125313,1125313,112031253,11253,Pottsville
165,goldcoast_tweedheads,11203125404,1125404,112031254,11254,Tweed Heads
166,goldcoast_tweedheads,11203125434,1125434,112031254,11254,Tweed Heads
167,goldcoast_tweedheads,11203125321,1125321,112031253,11253,Pottsville
168,goldcoast_tweedheads,11203155038,1155038,112031550,11550,Banora Point
169,goldcoast_tweedheads,11203125307,1125307,112031253,11253,Pottsville
170,goldcoast_tweedheads,11203125453,1125453,112031254,11254,Tweed Heads
171,goldcoast_tweedheads,11203125028,1125028,112031250,11250,Kingscliff - Fingal Head
172,goldcoast_tweedheads,11203155209,1155209,112031552,11552,Tweed Heads South
173,goldcoast_tweedheads,11203155010,1155010,112031550,11550,Banora Point
174,goldcoast_tweedheads,11203155033,1155033,112031550,11550,Banora Point
175,goldcoast_tweedheads,11203125424,1125424,112031254,11254,Tweed Heads
176,goldcoast_tweedheads,11203155206,1155206,112031552,11552,Tweed Heads South
177,goldcoast_tweedheads,11203155105,1155105,112031551,11551,Terranora - North Tumblegum
178,goldcoast_tweedheads,11203125025,1125025,112031250,11250,Kingscliff - Fingal Head
179,goldcoast_tweedheads,11203125450,1125450,112031254,11254,Tweed Heads
180,goldcoast_tweedheads,11203125322,1125322,112031253,11253,Pottsville
181,goldcoast_tweedheads,11203125401,1125401,112031254,11254,Tweed Heads
182,goldcoast_tweedheads,11203155016,1155016,112031550,11550,Banora Point
183,goldcoast_tweedheads,11203125016,1125016,112031250,11250,Kingscliff - Fingal Head
184,goldcoast_tweedheads,11203125316,1125316,112031253,11253,Pottsville
185,goldcoast_tweedheads,11203125018,1125018,112031250,11250,Kingscliff - Fingal Head
186,goldcoast_tweedheads,11203155221,1155221,112031552,11552,Tweed Heads South
187,goldcoast_tweedheads,11203125019,1125019,112031250,11250,Kingscliff - Fingal Head
188,goldcoast_tweedheads,11203155022,1155022,112031550,11550,Banora Point
189,goldcoast_tweedheads,11203125305,1125305,112031253,11253,Pottsville
190,goldcoast_tweedheads,11203125411,1125411,112031254,11254,Tweed Heads
191,goldcoast_tweedheads,11203125304,1125304,112031253,11253,Pottsville
192,goldcoast_tweedheads,11203125417,1125417,112031254,11254,Tweed Heads
193,goldcoast_tweedheads,11203155036,1155036,112031550,11550,Banora Point
194,goldcoast_tweedheads,11203155108,1155108,112031551,11551,Terranora - North Tumblegum
195,goldcoast_tweedheads,11203125011,1125011,112031250,11250,Kingscliff - Fingal Head
196,goldcoast_tweedheads,11203155203,1155203,112031552,11552,Tweed Heads South
197,goldcoast_tweedheads,11203125431,1125431,112031254,11254,Tweed Heads
198,goldcoast_tweedheads,11203125436,1125436,112031254,11254,Tweed Heads
199,goldcoast_tweedheads,11203125338,1125338,112031253,11253,Pottsville
200,goldcoast_tweedheads,11203125036,1125036,112031250,11250,Kingscliff - Fingal Head
201,goldcoast_tweedheads,11203125001,1125001,112031250,11250,Kingscliff - Fingal Head
202,goldcoast_tweedheads,11203125033,1125033,112031250,11250,Kingscliff - Fingal Head
203,goldcoast_tweedheads,11203125021,1125021,112031250,11250,Kingscliff - Fingal Head
204,goldcoast_tweedheads,11203125034,1125034,112031250,11250,Kingscliff - Fingal Head
205,goldcoast_tweedheads,11203125325,1125325,112031253,11253,Pottsville
206,goldcoast_tweedheads,11203155008,1155008,112031550,11550,Banora Point
207,goldcoast_tweedheads,11203125302,1125302,112031253,11253,Pottsville
208,goldcoast_tweedheads,11203125444,1125444,112031254,11254,Tweed Heads
209,goldcoast_tweedheads,11203155005,1155005,112031550,11550,Banora Point
210,goldcoast_tweedheads,11203125030,1125030,112031250,11250,Kingscliff - Fingal Head
211,goldcoast_tweedheads,11203125009,1125009,112031250,11250,Kingscliff - Fingal Head
212,goldcoast_tweedheads,11203155020,1155020,112031550,11550,Banora Point
213,goldcoast_tweedheads,11203125408,1125408,112031254,11254,Tweed Heads
214,goldcoast_tweedheads,11203125446,1125446,112031254,11254,Tweed Heads
215,goldcoast_tweedheads,11203155031,1155031,112031550,11550,Banora Point
216,goldcoast_tweedheads,11203125426,1125426,112031254,11254,Tweed Heads
217,goldcoast_tweedheads,11203155212,1155212,112031552,11552,Tweed Heads South
218,goldcoast_tweedheads,11203125443,1125443,112031254,11254,Tweed Heads
219,goldcoast_tweedheads,11203155205,1155205,112031552,11552,Tweed Heads South
220,goldcoast_tweedheads,11203125423,1125423,112031254,11254,Tweed Heads
221,goldcoast_tweedheads,11203125442,1125442,112031254,11254,Tweed Heads
222,goldcoast_tweedheads,11203125432,1125432,112031254,11254,Tweed Heads
223,goldcoast_tweedheads,11203125437,1125437,112031254,11254,Tweed Heads
224,goldcoast_tweedheads,11203125405,1125405,112031254,11254,Tweed Heads
225,goldcoast_tweedheads,11203125414,1125414,112031254,11254,Tweed Heads
226,goldcoast_tweedheads,11203125330,1125330,112031253,11253,Pottsville
227,goldcoast_tweedheads,11203155102,1155102,112031551,11551,Terranora - North Tumblegum
228,goldcoast_tweedheads,11203155211,1155211,112031552,11552,Tweed Heads South
229,goldcoast_tweedheads,11203125311,1125311,112031253,11253,Pottsville
230,goldcoast_tweedheads,11203125430,1125430,112031254,11254,Tweed Heads
231,goldcoast_tweedheads,11203125428,1125428,112031254,11254,Tweed Heads
232,goldcoast_tweedheads,11203125412,1125412,112031254,11254,Tweed Heads
233,goldcoast_tweedheads,11203155015,1155015,112031550,11550,Banora Point
234,goldcoast_tweedheads,11203155039,1155039,112031550,11550,Banora Point
235,goldcoast_tweedheads,11203125020,1125020,112031250,11250,Kingscliff - Fingal Head
236,goldcoast_tweedheads,11203125413,1125413,112031254,11254,Tweed Heads
237,goldcoast_tweedheads,11203125438,1125438,112031254,11254,Tweed Heads
238,goldcoast_tweedheads,11203125410,1125410,112031254,11254,Tweed Heads
239,goldcoast_tweedheads,11203155208,1155208,112031552,11552,Tweed Heads South
240,goldcoast_tweedheads,11203125409,1125409,112031254,11254,Tweed Heads
241,goldcoast_tweedheads,11203155030,1155030,112031550,11550,Banora Point
242,goldcoast_tweedheads,11203155219,1155219,112031552,11552,Tweed Heads South
243,goldcoast_tweedheads,11203155003,1155003,112031550,11550,Banora Point
244,goldcoast_tweedheads,11203155104,1155104,112031551,11551,Terranora - North Tumblegum
245,goldcoast_tweedheads,11203125013,1125013,112031250,11250,Kingscliff - Fingal Head
246,goldcoast_tweedheads,11203155007,1155007,112031550,11550,Banora Point
247,goldcoast_tweedheads,11203125403,1125403,112031254,11254,Tweed Heads
248,goldcoast_tweedheads,11203125335,1125335,112031253,11253,Pottsville
249,goldcoast_tweedheads,11203125406,1125406,112031254,11254,Tweed Heads
250,goldcoast_tweedheads,11203155107,1155107,112031551,11551,Terranora - North Tumblegum
251,goldcoast_tweedheads,11203125419,1125419,112031254,11254,Tweed Heads
252,goldcoast_tweedheads,11203155216,1155216,112031552,11552,Tweed Heads South
253,goldcoast_tweedheads,11203155037,1155037,112031550,11550,Banora Point
254,goldcoast_tweedheads,11203125427,1125427,112031254,11254,Tweed Heads
255,goldcoast_tweedheads,11203125418,1125418,112031254,11254,Tweed Heads
256,goldcoast_tweedheads,11203155006,1155006,112031550,11550,Banora Point
257,goldcoast_tweedheads,11203125327,1125327,112031253,11253,Pottsville
258,goldcoast_tweedheads,11203125306,1125306,112031253,11253,Pottsville
259,goldcoast_tweedheads,11203125447,1125447,112031254,11254,Tweed Heads
260,goldcoast_tweedheads,11203155025,1155025,112031550,11550,Banora Point
261,goldcoast_tweedheads,11203155023,1155023,112031550,11550,Banora Point
262,goldcoast_tweedheads,11203155012,1155012,112031550,11550,Banora Point
